skewer,alpha,step,t,dt,F_lya,F_inc,locIF,vIF_fd,vIF_fm,T_center,width_IF,nH_avg,nH_center,C_em
0000,-1.0,32791.0,55.77424,0.001190961,37839.19,8564.493,517.8418664938436,6191.189,1267.979,26127.4,4.061597e+23,5.890759e-05,6.227662e-05,0.2885648
0000,-1.0,32930.0,56.16753,0.003481332,37950.84,8558.502,520.1911860012951,5846.264,1176.642,25730.61,3.983848e+23,6.013142e-05,6.708444e-05,0.2875237
0000,-1.0,33060.0,56.55957,0.004434769,38120.23,8560.28,522.397926117952,5500.047,1122.727,25479.89,3.930878e+23,6.103066e-05,7.033327e-05,0.2875251
0000,-1.0,33189.0,56.95574,0.004824797,38328.25,8564.497,524.5593000648078,5384.167,1096.998,25350.2,3.881556e+23,6.160265e-05,7.202449e-05,0.2916028
0000,-1.0,33332.0,57.34643,0.002046666,38544.45,8568.548,526.6558651976666,5225.162,1095.868,25333.12,3.879269e+23,6.191992e-05,7.213317e-05,0.2922433
0000,-1.0,33466.0,57.73774,0.003974144,38749.71,8564.079,528.8107582631237,5362.786,1116.851,25422.41,3.857808e+23,6.208221e-05,7.073603e-05,0.2956
0000,-1.0,33596.0,58.13451,0.004785296,38925.61,8557.428,531.0596241088788,5605.721,1162.621,25622.98,3.862172e+23,6.210381e-05,6.788814e-05,0.2962487
0000,-1.0,33744.0,58.52298,0.00347607,39058.54,8551.544,533.3700583279333,5757.582,1233.059,25925.74,3.866573e+23,6.198992e-05,6.395097e-05,0.2991977
0000,-1.0,33745.0,58.52645,0.003582118,39059.6,8551.357,533.392741412832,54.14419,1233.792,25928.89,3.867259e+23,6.198992e-05,6.391143e-05,0.2992207
0000,-1.0,33875.0,58.91768,0.00481069,39151.6,8541.74,535.9105638366818,6271.809,1330.1,26330.59,3.89694e+23,6.186838e-05,5.919803e-05,0.3003896
